,elapsed,accuracy,targ_std,targ_mean,train_loss,valid_loss,model,leak,sub,maxv
28,40.741403,0.8485000133514404,0.5,0.0,0.37637872743606565,0.4230505466938019,get_model_conv,0.4,0.1,5.0
29,39.611575,0.8561000227928162,0.5,0.0,0.3808775165875753,0.4065160237312317,get_model_conv,0.4,0.1,
30,41.357532,0.8575999736785889,0.5,0.0,0.37228950233459474,0.3938033517837524,get_model_conv,0.4,0.2,3.0
31,41.042479,0.8535000085830688,0.5,0.0,0.3721342533747355,0.4026834204912186,get_model_conv,0.4,0.2,5.0
32,39.561118,0.8439000248908997,0.5,0.0,0.38975756905873615,0.4280825481414795,get_model_conv,0.4,0.2,
33,40.7395,0.8496000170707703,0.5,0.0,0.3722533000628154,0.41454450616836547,get_model_conv,0.4,,3.0
34,40.808416,0.8461999893188477,0.5,0.0,0.37997183316548666,0.4213260273933411,get_model_conv,0.4,,5.0
35,39.442734,0.8348000049591064,0.5,0.0,0.38450019273757935,0.45651710991859434,get_model_conv,0.4,,
36,39.473458,0.10000000149011612,0.5,0.0,2.3027097106933594,2.3026358421325686,get_model_conv,,,
37,34.752813,0.10000000149011612,0.5,0.0,2.3211383138020834,2.307720308685303,get_model_fc,-0.1,-0.1,3.0
38,34.69652,0.10029999911785126,0.5,0.0,2.3260501337687174,2.3191526847839357,get_model_fc,-0.1,-0.1,5.0
39,34.405978,0.10000000149011612,0.5,0.0,39752.5654875,33615.26425,get_model_fc,-0.1,-0.1,
40,34.786445,0.10000000149011612,0.5,0.0,2.316544766743978,2.311971035003662,get_model_fc,-0.1,0.1,3.0
41,34.771285,0.1429000049829483,0.5,0.0,2.31457427927653,2.30573231010437,get_model_fc,-0.1,0.1,5.0
42,34.434368,0.10000000149011612,0.5,0.0,9722.260928125,9231.7197890625,get_model_fc,-0.1,0.1,
43,34.743183,0.09950000047683716,0.5,0.0,2.3188155848185223,2.3180526920318605,get_model_fc,-0.1,0.2,3.0
44,34.675398,0.2198999971151352,0.5,0.0,2.145157879892985,2.132371427154541,get_model_fc,-0.1,0.2,5.0
45,34.463187,0.10000000149011612,0.5,0.0,4709.4469317708335,6030.94631484375,get_model_fc,-0.1,0.2,
46,34.676248,0.10000000149011612,0.5,0.0,2.320673101298014,2.310661296081543,get_model_fc,-0.1,,3.0
47,34.760805,0.09939999878406525,0.5,0.0,2.3310971079508462,2.3340587856292725,get_model_fc,-0.1,,5.0
48,34.318787,0.10000000149011612,0.5,0.0,24136.718316666665,26021.77735,get_model_fc,-0.1,,
49,34.737756,0.8453999757766724,0.5,0.0,0.3809144725481669,0.4343215908050537,get_model_fc,0.1,-0.1,3.0
50,34.744811,0.8472999930381775,0.5,0.0,0.35367719224294025,0.41819052712917326,get_model_fc,0.1,-0.1,5.0
